Ê±¼ä - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	°ÚÂÖ½Ç¶È - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	
16.16	16.236	
16.18	17.208	
16.2	18.252	
16.22	19.116	
16.24	19.98	
16.26	20.772	
16.28	21.456	
16.3	22.14	
16.32	22.716	
16.34	23.22	
16.36	23.652	
16.38	24.012	
16.4	24.264	
16.42	24.48	
16.44	24.588	
16.46	24.588	
16.48	24.552	
16.5	24.408	
16.52	24.228	
16.54	23.904	
16.56	23.58	
16.58	23.148	
16.6	22.644	
16.62	22.032	
16.64	21.42	
16.66	20.7	
16.68	19.908	
16.7	19.116	
16.72	18.216	
16.74	17.28	
16.76	16.272	
16.78	15.192	
16.8	14.112	
16.82	12.924	
16.84	11.7	
16.86	10.512	
16.88	9.216	
16.9	7.92	
16.92	6.588	
16.94	5.292	
16.96	3.924	
16.98	2.628	
17	1.26	
17.02	-0.108	
17.04	-1.476	
17.06	-2.772	
17.08	-3.996	
17.1	-5.256	
17.12	-6.516	
17.14	-7.704	
17.16	-8.892	
17.18	-9.972	
17.2	-11.016	
17.22	-12.024	
17.24	-12.924	
17.26	-13.824	
17.28	-14.58	
17.3	-15.336	
17.32	-15.948	
17.34	-16.488	
17.36	-16.956	
17.38	-17.352	
17.4	-17.64	
17.42	-17.82	
17.44	-17.928	
17.46	-17.928	
17.48	-17.892	
17.5	-17.712	
17.52	-17.46	
17.54	-17.1	
17.56	-16.704	
17.58	-16.2	
17.6	-15.66	
17.62	-15.012	
17.64	-14.292	
17.66	-13.536	
17.68	-12.672	
17.7	-11.736	
17.72	-10.8	
17.74	-9.756	
17.76	-8.676	
17.78	-7.524	
17.8	-6.444	
17.82	-5.148	
17.84	-3.96	
17.86	-2.736	
17.88	-1.404	
17.9	-0.144	
17.92	1.224	
17.94	2.556	
17.96	3.852	
17.98	5.292	
18	6.552	
18.02	7.848	
18.04	9.216	
18.06	10.368	
18.08	11.628	
18.1	12.852	
18.12	14.04	
18.14	15.12	
18.16	16.164	
18.18	17.208	
18.2	18.18	
18.22	19.116	
18.24	20.016	
18.26	20.736	
18.28	21.492	
18.3	22.176	
18.32	22.716	
18.34	23.22	
18.36	23.652	
18.38	24.012	
18.4	24.3	
18.42	24.48	
18.44	24.588	
18.46	24.624	
18.48	24.588	
18.5	24.444	
18.52	24.228	
18.54	23.94	
18.56	23.58	
18.58	23.148	
18.6	22.68	
18.62	22.104	
18.64	21.492	
18.66	20.772	
18.68	19.98	
18.7	19.152	
18.72	18.252	
18.74	17.28	
18.76	16.308	
18.78	15.228	
18.8	14.076	
18.82	12.96	
18.84	11.808	
18.86	10.476	
18.88	9.252	
18.9	7.956	
18.92	6.66	
18.94	5.328	
18.96	3.996	
18.98	2.592	
19	1.332	
19.02	-0.036	
19.04	-1.332	
19.06	-2.664	
