Ê±¼ä - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	°ÚÂÖ½Ç¶È - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	
9.78	2.484	
9.8	2.484	
9.82	2.484	
9.84	2.484	
9.86	2.484	
9.88	2.484	
9.9	2.484	
9.92	2.484	
9.94	2.484	
9.96	2.484	
9.98	2.484	
10	2.484	
10.02	2.484	
10.04	2.484	
10.06	2.484	
10.08	2.484	
10.1	2.484	
10.12	2.484	
10.14	2.484	
10.16	2.484	
10.18	2.484	
10.2	2.484	
10.22	2.484	
10.24	2.484	
10.26	2.484	
10.28	2.484	
10.3	2.484	
10.32	2.484	
10.34	2.484	
10.36	2.484	
10.38	2.484	
10.4	2.484	
10.42	2.484	
10.44	2.484	
10.46	2.484	
10.48	2.484	
10.5	2.484	
10.52	2.484	
10.54	2.484	
10.56	2.484	
10.58	2.484	
10.6	2.484	
10.62	2.484	
10.64	2.484	
10.66	2.484	
10.68	2.484	
10.7	2.484	
10.72	2.484	
10.74	2.484	
10.76	2.484	
10.78	2.484	
10.8	2.484	
10.82	2.484	
10.84	2.484	
10.86	2.484	
10.88	2.484	
10.9	2.484	
10.92	2.484	
10.94	2.484	
10.96	2.484	
10.98	2.484	
11	2.484	
11.02	2.484	
11.04	2.484	
11.06	2.484	
11.08	2.484	
11.1	2.484	
11.12	2.484	
11.14	2.484	
11.16	2.484	
11.18	2.484	
11.2	2.484	
11.22	2.484	
11.24	2.484	
11.26	2.484	
11.28	2.484	
11.3	2.484	
11.32	2.484	
11.34	2.484	
11.36	2.484	
11.38	2.484	
11.4	2.484	
11.42	2.484	
11.44	2.484	
11.46	2.484	
11.48	2.484	
11.5	2.484	
11.52	2.484	
11.54	2.484	
11.56	2.484	
11.58	2.484	
11.6	2.484	
11.62	2.484	
11.64	2.484	
11.66	2.484	
11.68	2.484	
11.7	2.484	
11.72	2.484	
11.74	2.484	
11.76	2.484	
11.78	2.484	
11.8	2.484	
11.82	2.484	
11.84	2.484	
11.86	2.484	
11.88	2.484	
11.9	2.484	
11.92	2.484	
11.94	2.484	
11.96	2.484	
11.98	2.484	
12	2.484	
12.02	2.484	
12.04	2.484	
12.06	2.484	
12.08	2.484	
12.1	2.484	
12.12	2.484	
12.14	2.484	
12.16	2.484	
12.18	2.484	
12.2	2.484	
12.22	2.484	
12.24	2.484	
12.26	2.484	
12.28	2.484	
12.3	2.484	
12.32	2.484	
12.34	2.484	
12.36	2.484	
12.38	2.484	
12.4	2.484	
12.42	2.484	
12.44	2.484	
12.46	2.484	
12.48	2.484	
12.5	2.484	
12.52	2.484	
12.54	2.484	
12.56	2.484	
12.58	2.484	
12.6	2.484	
12.62	2.484	
12.64	2.484	
12.66	2.484	
12.68	2.484	
12.7	2.484	
12.72	2.484	
12.74	2.484	
12.76	2.484	
12.78	2.484	
12.8	2.484	
12.82	2.484	
12.84	2.484	
12.86	2.484	
12.88	2.484	
12.9	2.484	
12.92	2.484	
12.94	2.484	
12.96	2.484	
12.98	2.484	
13	2.484	
13.02	2.484	
13.04	2.484	
13.06	2.484	
13.08	2.484	
13.1	2.484	
13.12	2.484	
13.14	2.484	
13.16	2.484	
13.18	2.484	
13.2	2.484	
13.22	2.484	
13.24	2.484	
13.26	2.484	
13.28	2.484	
13.3	2.484	
13.32	2.484	
13.34	2.484	
13.36	2.484	
13.38	2.484	
13.4	2.484	
13.42	2.484	
13.44	2.484	
13.46	2.484	
13.48	2.484	
13.5	2.484	
13.52	2.484	
13.54	2.484	
13.56	2.484	
13.58	2.484	
13.6	2.484	
13.62	2.484	
13.64	2.484	
13.66	2.484	
13.68	2.484	
13.7	2.484	
13.72	2.484	
13.74	2.484	
13.76	2.484	
13.78	2.484	
13.8	2.484	
13.82	2.484	
13.84	2.484	
13.86	2.484	
13.88	2.484	
13.9	2.484	
13.92	2.484	
13.94	2.484	
13.96	2.484	
13.98	2.484	
14	2.484	
14.02	2.484	
14.04	2.484	
14.06	2.484	
14.08	2.484	
14.1	2.484	
14.12	2.484	
14.14	2.484	
14.16	2.484	
14.18	2.484	
14.2	2.484	
14.22	2.484	
14.24	2.484	
14.26	2.484	
14.28	2.484	
14.3	2.484	
14.32	2.484	
14.34	2.484	
14.36	2.484	
14.38	2.484	
14.4	2.484	
14.42	2.484	
14.44	2.484	
14.46	2.484	
14.48	2.484	
14.5	2.484	
14.52	2.484	
14.54	2.484	
14.56	2.484	
14.58	2.484	
14.6	2.484	
14.62	2.484	
14.64	2.484	
14.66	2.484	
14.68	2.484	
14.7	2.484	
14.72	2.484	
14.74	2.484	
14.76	2.484	
14.78	2.484	
14.8	2.484	
14.82	2.484	
14.84	2.484	
14.86	2.484	
14.88	2.484	
14.9	2.484	
14.92	2.484	
14.94	2.484	
14.96	2.484	
14.98	2.484	
15	2.484	
15.02	2.484	
15.04	2.484	
15.06	2.484	
15.08	2.484	
15.1	2.484	
15.12	2.484	
15.14	2.484	
15.16	2.484	
15.18	2.484	
15.2	2.484	
15.22	2.484	
15.24	2.484	
15.26	2.484	
15.28	2.484	
15.3	2.484	
15.32	2.484	
15.34	2.484	
15.36	2.484	
15.38	2.484	
15.4	2.484	
15.42	2.484	
15.44	2.484	
15.46	2.484	
15.48	2.484	
15.5	2.484	
15.52	2.484	
15.54	2.484	
15.56	2.484	
15.58	2.484	
15.6	2.484	
15.62	2.484	
15.64	2.484	
15.66	2.484	
15.68	2.484	
15.7	2.484	
15.72	2.484	
15.74	2.484	
15.76	2.484	
15.78	2.484	
15.8	2.484	
15.82	2.484	
15.84	2.484	
15.86	2.484	
15.88	2.484	
15.9	2.484	
15.92	2.484	
15.94	2.484	
15.96	2.484	
15.98	2.484	
16	2.484	
16.02	2.484	
16.04	2.484	
16.06	2.484	
16.08	2.484	
16.1	2.484	
16.12	2.484	
16.14	2.484	
16.16	2.484	
16.18	2.484	
16.2	2.484	
16.22	2.484	
16.24	2.484	
16.26	2.484	
16.28	2.484	
16.3	2.484	
16.32	2.484	
16.34	2.484	
16.36	2.484	
16.38	2.484	
16.4	2.484	
16.42	2.484	
16.44	2.484	
16.46	2.484	
16.48	2.484	
16.5	2.484	
16.52	2.484	
16.54	2.484	
16.56	2.484	
16.58	2.484	
16.6	2.484	
16.62	2.484	
16.64	2.484	
16.66	2.484	
16.68	2.484	
16.7	2.484	
16.72	2.484	
16.74	2.484	
16.76	2.484	
16.78	2.484	
16.8	2.484	
16.82	2.484	
16.84	2.484	
16.86	2.484	
16.88	2.484	
16.9	2.484	
16.92	2.484	
16.94	2.484	
16.96	2.484	
16.98	2.484	
17	2.484	
17.02	2.484	
17.04	2.484	
17.06	2.484	
17.08	2.484	
17.1	2.484	
17.12	2.484	
17.14	2.484	
17.16	2.484	
17.18	2.484	
17.2	2.484	
17.22	2.484	
17.24	2.484	
17.26	2.484	
17.28	2.484	
17.3	2.484	
17.32	2.484	
17.34	2.484	
17.36	2.484	
17.38	2.484	
17.4	2.484	
17.42	2.484	
17.44	2.484	
17.46	2.484	
17.48	2.484	
17.5	2.484	
17.52	2.484	
17.54	2.484	
17.56	2.484	
17.58	2.484	
17.6	2.484	
17.62	2.484	
17.64	2.484	
17.66	2.484	
17.68	2.484	
17.7	2.484	
17.72	2.484	
17.74	2.484	
17.76	2.484	
17.78	2.484	
17.8	2.484	
17.82	2.484	
17.84	2.484	
17.86	2.484	
17.88	2.484	
17.9	2.484	
17.92	2.484	
17.94	2.484	
17.96	2.484	
17.98	2.484	
18	2.484	
18.02	2.484	
18.04	2.484	
18.06	2.484	
18.08	2.484	
18.1	2.484	
18.12	2.484	
18.14	2.484	
18.16	2.484	
18.18	2.484	
18.2	2.484	
18.22	2.484	
18.24	2.484	
18.26	2.484	
18.28	2.484	
18.3	2.484	
18.32	2.484	
18.34	2.484	
18.36	2.484	
18.38	2.484	
18.4	2.484	
18.42	2.484	
18.44	2.484	
18.46	2.484	
18.48	2.484	
18.5	2.484	
18.52	2.484	
18.54	2.484	
18.56	2.484	
18.58	2.484	
18.6	2.484	
18.62	2.484	
18.64	2.484	
18.66	2.484	
18.68	2.484	
18.7	2.484	
18.72	2.484	
18.74	2.484	
18.76	2.484	
18.78	2.484	
18.8	2.484	
18.82	2.484	
18.84	2.484	
18.86	2.484	
18.88	2.484	
18.9	2.484	
18.92	2.484	
18.94	2.484	
18.96	2.484	
18.98	2.484	
19	2.484	
19.02	2.484	
19.04	2.484	
19.06	2.484	
19.08	2.484	
19.1	2.484	
19.12	2.484	
19.14	2.484	
19.16	2.484	
19.18	2.484	
19.2	2.484	
19.22	2.484	
19.24	2.484	
19.26	2.484	
19.28	2.484	
19.3	2.484	
19.32	2.484	
19.34	2.484	
19.36	2.484	
19.38	2.484	
19.4	2.484	
19.42	2.484	
19.44	2.484	
19.46	2.484	
19.48	2.484	
19.5	2.484	
19.52	2.484	
19.54	2.484	
19.56	2.484	
19.58	2.484	
19.6	2.484	
19.62	2.484	
19.64	2.484	
19.66	2.484	
19.68	2.484	
19.7	2.484	
19.72	2.484	
19.74	2.484	
19.76	2.484	
19.78	2.484	
19.8	2.484	
19.82	2.484	
19.84	2.484	
19.86	2.484	
19.88	2.484	
19.9	2.484	
19.92	2.484	
19.94	2.484	
19.96	2.484	
19.98	2.484	
20	2.484	
20.02	2.484	
20.04	2.484	
20.06	2.484	
20.08	2.484	
20.1	2.484	
20.12	2.484	
20.14	2.484	
20.16	2.484	
20.18	2.484	
20.2	2.484	
20.22	2.484	
20.24	2.484	
20.26	2.484	
20.28	2.484	
20.3	2.484	
20.32	2.484	
20.34	2.484	
20.36	2.484	
20.38	2.484	
20.4	2.484	
20.42	2.484	
20.44	2.484	
20.46	2.484	
20.48	2.484	
20.5	2.484	
20.52	2.484	
20.54	2.484	
20.56	2.484	
20.58	2.484	
20.6	2.484	
20.62	2.484	
20.64	2.484	
20.66	2.484	
20.68	2.484	
20.7	2.484	
20.72	2.484	
20.74	2.484	
20.76	2.484	
20.78	2.484	
20.8	2.484	
20.82	2.484	
20.84	2.484	
20.86	2.484	
20.88	2.484	
20.9	2.484	
20.92	2.484	
20.94	2.484	
20.96	2.484	
20.98	2.484	
21	2.484	
21.02	2.484	
21.04	2.484	
21.06	2.484	
21.08	2.484	
21.1	2.484	
21.12	2.484	
21.14	2.484	
21.16	2.484	
21.18	2.484	
21.2	2.484	
21.22	2.484	
21.24	2.484	
21.26	2.484	
21.28	2.484	
21.3	2.484	
21.32	2.484	
21.34	2.484	
21.36	2.484	
21.38	2.484	
21.4	2.484	
21.42	2.484	
21.44	2.484	
21.46	2.484	
21.48	2.484	
21.5	2.484	
21.52	2.484	
21.54	2.484	
21.56	2.484	
21.58	2.484	
21.6	2.484	
21.62	2.484	
21.64	2.484	
21.66	2.484	
21.68	2.484	
21.7	2.484	
21.72	2.484	
21.74	2.484	
21.76	2.484	
21.78	2.484	
21.8	2.484	
21.82	2.484	
21.84	2.484	
21.86	2.484	
21.88	2.484	
21.9	2.484	
21.92	2.484	
21.94	2.484	
21.96	2.484	
21.98	2.484	
22	2.484	
22.02	2.484	
22.04	2.484	
22.06	2.484	
22.08	2.484	
22.1	2.484	
22.12	2.484	
22.14	2.484	
22.16	2.484	
22.18	2.484	
22.2	2.484	
22.22	2.484	
22.24	2.484	
22.26	2.484	
22.28	2.484	
22.3	2.484	
22.32	2.484	
22.34	2.484	
22.36	2.484	
22.38	2.484	
22.4	2.484	
22.42	2.484	
22.44	2.484	
22.46	2.484	
22.48	2.484	
22.5	2.484	
22.52	2.484	
22.54	2.484	
22.56	2.484	
22.58	2.484	
22.6	2.484	
22.62	2.484	
22.64	2.484	
22.66	2.484	
22.68	2.484	
22.7	2.484	
22.72	2.484	
22.74	2.484	
22.76	2.484	
22.78	2.484	
22.8	2.484	
22.82	2.484	
22.84	2.484	
22.86	2.484	
